issn_normalizado,archivo,articulo_id,idioma,titulo,resumen,palabras_clave,extraccion,version_proceso,hash_articulo
0120-9957,57-121-PB.pdf,57-121-PB_6,en,"a hipervigilancia y de factores cognitivos, afectivos y psicosociales en la","Introduction: Esophageal disorders of gut-brain interaction are characterized by symptoms such as heartburn, chest pain, globus sensation, and dysphagia in the absence of structural, inflammatory, motor, or reflux-related abnormalities that adequately account for their occurrence. The Rome V criteria incor - porate recent advances in the physiological assessment of the esophagus and should be interpreted in conjunction with the Chicago Classification v4.0 and Lyon Consensus 2.0. Results: This update reviews the five esophageal disorders of gut-brain interaction recognized by Rome V: functional chest pain, functio- nal heartburn, reflux hypersensitivity, globus, and functional dysphagia. Their principal clinical features, diagnostic criteria, pathophysiological mechanisms, and therapeutic strategies are analyzed. Particular emphasis is placed on the central role of esophageal hypersensitivity and central sensory processing me- chanisms, as well as on the influence of hypervigilance and cognitive, affective, and psychosocial factors on symptom perception. Conclusions: Rome V proposes an integrated diagnostic approach that allows esophageal symptoms to be interpreted in conjunction with endoscopic and physiological findings, thereby avoiding overinterpretation of minor abnormalities and unnecessary repetition of diagnostic testing. Once relevant structural, inflammatory, motor, and reflux-related diseases have been excluded, management should target the mechanisms perpetuating symptoms, including hypersensitivity and hypervigilance. Patient education, neuromodulation, and psychobehavioral interventions constitute relevant therapeutic tools, although the available evidence supporting many of these interventions remains limited","Gut-brain axis, hypervigilance, dysphagia, Rome V. https://doi.org/10.22516/25007440.1631 Artículo de revisión 325 Trastornos esofágicos de la interacción intestino-cerebro: actualización basada en Roma V excluir trastornos motores mayores, como acalasia, obs - trucción del tracto de salida de la unión esofagogástrica, contractilidad ausente, espasmo esofágico distal y esófago hipercontráctil",marcadores,1.0.0,b412face42a43ab4
0120-9957,57-121-PB.pdf,57-121-PB_7,es,trally mediated disorders of gastrointestinal pain: An update with Rome V,"Introducción: los trastornos de la interacción intestino-cerebro son condiciones frecuentes en las que los síntomas digestivos resultan de alteraciones de la motilidad, hipersensibilidad visceral, disfunción mucosa e inmunitaria, cambios en la microbiota y procesamiento central alterado. Roma V incluye una categoría en la que predomina la contribución del sistema nervioso central, y el dolor, más que la disfunción lumi - nal, define la enfermedad. Resultados: los trastornos de dolor gastrointestinal mediados centralmente comprenden tres entidades: síndrome de dolor abdominal mediado centralmente, migraña abdominal del adulto y síndrome de intestino por narcóticos. El cambio de mayor alcance ocurre en la primera. Roma IV exigía dolor continuo sin relación con la ingesta, la defecación o la menstruación, y si además fluctuaba con las comidas, el paciente quedaba excluido y solía recibir la etiqueta de síndrome de intestino irritable. Roma V conserva ese perfil y añade una categoría en la que el dolor puede modificarse con eventos fisiológicos sin dejar de ser continuo. El discriminador pasa a ser la continuidad del dolor, no su relación con dichos eventos. De forma recíproca, se exige que el dolor del síndrome de intestino irritable no sea continuo. Se revisan criterios, epidemiología, mecanismos, diagnóstico y tratamiento. Conclusiones: los trastornos de dolor gastrointestinal mediados centralmente exigen un desplazamiento del razonamiento clínico: dejar de buscar una lesión luminal y tratar un mecanismo central identificable. Sin embargo, la evidencia es heterogénea y procede de series pequeñas sin control, por lo que las recomendaciones de- ben presentarse como tales. En Latinoamérica exige descartar patología orgánica prevalente y ajustar el plan a la disponibilidad de neuromoduladores, psicogastroenterología y programas de retiro de opioides","Dolor abdominal, eje cerebro-intestino, hiperalgesia, trastornos relacionados con opioides, trastornos migrañosos. https://doi.org/10.22516/25007440.1636 Artículo de revisión",marcadores,1.0.0,1df0a0c5859388ef
0120-9957,57-121-PB.pdf,57-121-PB_8,en,en la categoría trastor-,"Introduction: Disorders of gut-brain interaction are common conditions in which gastrointestinal symp - toms result from abnormalities in motility, visceral hypersensitivity, mucosal and immune dysfunction, alterations in the microbiota, and impaired central processing. Rome V includes a category in which the contribution of the central nervous system predominates, with pain, rather than luminal dysfunction, defi - ning the disorder. Results: Centrally mediated disorders of gastrointestinal pain comprise three entities: centrally mediated abdominal pain syndrome, adult abdominal migraine, and narcotic bowel syndrome. The most far-reaching change concerns the first of these. Under Rome IV, pain was required to be conti - nuous and unrelated to food intake, defecation, or menstruation; if it also fluctuated with meals, the patient was excluded from the diagnosis and was often classified as having irritable bowel syndrome. Rome V retains this profile while adding a category in which pain may vary in response to physiological events without ceasing to be continuous. The distinguishing feature is therefore pain continuity rather than its relationship to such events. Conversely, pain associated with irritable bowel syndrome is required to be noncontinuous. Diagnostic criteria, epidemiology, mechanisms, diagnosis, and treatment are reviewed. Conclusions: Centrally mediated disorders of gastrointestinal pain require a shift in clinical reasoning: rather than searching for a luminal lesion, the focus should be placed on treating an identifiable central me- chanism. However, the evidence is heterogeneous and derives from small uncontrolled series; therefore, recommendations should be presented accordingly. In Latin America, prevalent organic disease must be excluded, and management should be tailored to the availability of neuromodulators, psychogastroentero- logy services, and opioid tapering programs","Abdominal pain; gut-brain axis; hyperalgesia; opioid-related disorders; migraine disorders. Revista. colomb. Gastroenterol. 2026;41(3):334-341. https://doi.org/10.22516/25007440.1636 336 Artículo de revisión 80,1% (IC 95%: 72,4-86,5), frente a sensibilidades de 78,9% (IC 95%: 75,4-82,1) con Roma IV y 87,5% (IC 95%: 84,4- 90,3) con Roma III. El cociente de probabilidad negativo de Roma V fue de 0",marcadores,1.0.0,b47e848b3420b077
0120-9957,57-121-PB.pdf,57-121-PB_9,es,compromiso pancreático y extrapancreático en una,"Introducción: la enfermedad relacionada con IgG4 (ER-IgG4) es un trastorno fibroinflamatorio sistémico de reciente descripción, caracterizado por infiltrado linfoplasmocitario denso, fibrosis en patrón estoriforme, fle- bitis obliterante y respuesta favorable a glucocorticoides. Su diagnóstico continúa siendo un reto, pues suele simular procesos neoplásicos o autoinmunes. Presentación del caso: mujer afrocolombiana de 60 años con antecedente de ictericia obstructiva, pérdida de peso y lesión pancreática inicialmente sospechosa de neoplasia. Se realizó colecistectomía con hallazgos histopatológicos de pancreatitis esclerosante linfoplas- mocitaria, con infiltrado rico en células IgG4 y fibrosis estoriforme. La serología mostró niveles de IgG4 >5 veces el límite superior. La paciente presentó, además, hipertrofia de glándulas salivales y adenopatías cer- vicales, con respuesta clínica completa al tratamiento con glucocorticoides. Discusión: el caso corresponde al fenotipo clínico multiorgánico descrito en la literatura, cumpliendo con los criterios de clasificación ACR/ EULAR 2019 para ER-IgG4. La sospecha inicial de neoplasia pancreática condujo a intervención quirúrgica innecesaria, lo que ilustra la dificultad diagnóstica de esta entidad. Este sería el primer caso reportado en la región Caribe de Colombia en un paciente afrodescendiente, lo cual aporta evidencia sobre la variabilidad fenotípica y la necesidad de un abordaje multidisciplinario. Conclusión: la ER-IgG4 debe considerarse en el diagnóstico diferencial de masas pancreáticas y biliares. El reconocimiento temprano evita procedimientos invasivos innecesarios y permite instaurar el tratamiento con glucocorticoides, que logra la remisión clínica","Enfermedad relacionada con inmunoglobulina G4, pancreatitis autoinmune, glándulas salivales",marcadores,1.0.0,88c57942e007e2ae
0120-9957,57-121-PB.pdf,57-121-PB_9,en,sión: el caso corresponde,"Introduction: IgG4-related disease (IgG4-RD) is a recently described systemic fibroinflammatory disorder characterized by dense lymphoplasmacytic infiltrate, storiform fibrosis, obliterative phlebitis, and a favora- ble response to glucocorticoids. Its diagnosis remains challenging because it often mimics neoplastic or autoimmune processes. Case presentation: A 60-year-old Afro-Colombian woman with a history of obs- tructive jaundice, weight loss, and a pancreatic lesion initially suspected to be a neoplasm. She underwent cholecystectomy, with histopathological findings of lymphoplasmacytic sclerosing pancreatitis, showing an infiltrate rich in IgG4-positive cells and storiform fibrosis. Serology showed IgG4 levels >5 times the upper limit of normal. The patient also presented salivary gland hypertrophy and cervical lymphadenopathy, with a complete clinical response to glucocorticoid treatment. Discussion: The case corresponds to the mul - tiorgan clinical phenotype described in the literature, meeting the 2019 ACR/EULAR classification criteria for IgG4-RD. The initial suspicion of pancreatic neoplasia led to an unnecessary surgical intervention, illustrating the diagnostic difficulty of this entity. This would be the first case reported in the Caribbean region of Colombia in an Afro-descendant patient, contributing evidence on phenotypic variability and the need for a multidisciplinary approach. Conclusion: IgG4-RD should be considered in the differential diagnosis of pancreatic and biliary masses. Early recognition prevents unnecessary invasive procedures and allows initiation of glucocorticoid treatment, which achieves clinical remission","Immunoglobulin G4-related disease, autoimmune pancreatitis, salivary glands. https://doi.org/10.22516/25007440.1447 Reporte de caso 343 Enfermedad relacionada con IgG4: un caso de compromiso pancreático y extrapancreático en una mujer afrocolombiana PRESENTACIÓN DEL CASO Se trata de una mujer de 60 años, fototipo IV . Ingres ó a Reumatología remitida del servicio de Hepatología con diag- nóstic",marcadores,1.0.0,4487b8f75401e533
0120-9957,57-121-PB.pdf,57-121-PB_10,es,"1 Médico, residente de Medicina Interna, Departamento","Introducción: la colangitis es la infección del tracto biliar, producida habitualmente por bacilos gramne - gativos. Comamonas testosteroni es una bacteria común en el medio ambiente; sin embargo, no es parte del microbioma humano. Hasta la fecha no se han descrito casos de bacteriemia secundaria a colangitis causados por C. testosteroni. Presentación del caso: paciente femenina de 77 años con estenosis biliar benigna y coledocolitiasis recidivante que presentó un cuadro de colangitis Tokio II, con aislamiento de C. testosteroni multisensible tanto en los hemocultivos como en el cultivo de líquido biliar con igual perfil de sensibilidad. Recibió diez días de manejo antibiótico con piperacilina/tazobactam con hemocultivos de control negativos. Se realizó el manejo definitivo con dilatación de la vía biliar con SpyGlass, en la que se tomaron biopsias con proceso inflamatorio crónico y agudo grave con cambios reactivos epiteliales, negativo para malignidad, con buena evolución clínica. Discusión: la infección en seres humanos por es- pecies de Comamonas es inusual, y el más frecuente es C. testosteroni, que corresponde principalmente a infecciones intraabdominales (la mayoría secundarias a perforación de apéndice cecal). El MALDI-TOF (Matrix Assisted Laser Desorption Ionization Time of Flight) se ha establecido como una herramienta útil para diferenciar las especies de Comamonas. Conclusión: C. testosteroni es un agente causal posible en la colangitis. La llegada y expansión de tecnologías como MALDI-TOF permiten identificar microorga- nismos inusuales y guiar el tratamiento","Comamonas testosteroni, bacteriemia, colangitis",marcadores,1.0.0,ec989991f6453da5
0120-9957,57-121-PB.pdf,57-121-PB_10,en,"ejo definitivo con dilatación de la vía biliar con SpyGlass, en la que","Introduction: Cholangitis is an infection of the biliary tract usually caused by gram-negative bacilli. Comamonas testosteroni is a bacterium commonly found in the environment; however, it is not part of the human microbiome. To date, no cases of bacteremia secondary to cholangitis caused by C. testosteroni have been described. Case presentation: A 77-year-old female patient with benign biliary stenosis and recurrent choledocholithiasis presented with Tokyo II cholangitis, with isolation of multidrug-susceptible C. testosteroni in both blood cultures and bile fluid culture, showing the same susceptibility profile. She received ten days of antibiotic treatment with piperacillin/tazobactam, and follow-up blood cultures were negative. Definitive management included biliary tract dilation with SpyGlass, during which biopsies we - re taken and showed severe chronic and acute inflammatory changes with reactive epithelial changes, negative for malignancy, with favorable clinical progression. Discussion: Infection in humans caused by Comamonas species is unusual, and the most frequent species is C. testosteroni, mainly associa - ted with intra-abdominal infections (most secondary to perforation of the cecal appendix). MALDI-TOF (Matrix Assisted Laser Desorption Ionization Time of Flight) has become a useful tool for differentiating Comamonas species. Conclusion: C. testosteroni is a possible causative agent of cholangitis. The arrival and expansion of technologies such as MALDI-TOF make it possible to identify unusual microorganisms and guide treatment","Comamonas testosteroni, bacteremia, cholangitis. https://doi.org/10.22516/25007440.1467 Reporte de caso Revista. colomb. Gastroenterol. 2026;41(3):349-355. https://doi.org/10.22516/25007440.1467 350 Reporte de caso realizó mediante espectrometría de masas MALDI-TOF y la evaluación de sensibilidad antimicrobiana mediante el método automatizado Vitek 2®. El perfil de sensibilidad de la bacteria",marcadores,1.0.0,ce1515c303f347e9
0120-9957,57-121-PB.pdf,57-121-PB_11,es,del adenocarcinoma: carcinoma adenoescamoso,"Introducción: el carcinoma adenoescamoso de páncreas es una neoplasia exocrina infrecuente, que representa entre el 1% y el 4% de los tumores pancreáticos, caracterizada por la presencia de compo - nentes glandulares y escamosos, y asociada a un comportamiento altamente agresivo y mal pronóstico. Su diagnóstico suele realizarse en etapas avanzadas debido a la inespecificidad clínica y su rápida progresión. Presentación del caso : se presenta el caso de una paciente de 82 años con un cuadro de dolor abdominal, ictericia y síndrome constitucional. Los estudios de laboratorio evidenciaron co - lestasis, citólisis e hiperbilirrubinemia directa. La tomografía y la resonancia abdominal mostraron una lesión sólido-quística en la cola del páncreas con compromiso de estructuras adyacentes y múltiples lesiones hepáticas sugestivas de metástasis. La ecoendoscopia con biopsia confirmó el diagnóstico de carcinoma adenoescamoso mediante un estudio histopatológico e inmunohistoquímico (p63 positivo en componente escamoso y antígeno carcinoembrionario positivo en el componente glandular). La pa - ciente presentó una evolución desfavorable y falleció dos meses después del diagnóstico. Discusión: este subtipo tumoral se asocia con una alta tasa de diseminación temprana, invasión linfovascular y perineural, lo que limita las opciones terapéuticas. Aunque la resección quirúrgica es el tratamiento de elección en estadios iniciales, la mayoría de los casos son irresecables al diagnóstico. No existe un esquema quimioterapéutico estandarizado, lo que refleja la escasa evidencia disponible. Conclusión: el carcinoma adenoescamoso de páncreas es una entidad rara y de mal pronóstico, cuyo reconocimiento oportuno y confirmación histológica son fundamentales. Se requieren estudios adicionales que permitan optimizar su abordaje diagnóstico y terapéutico, consulta e información al momento del manejo de esta patología, pues es rara y poco conocida","Neoplasias pancreáticas, ultrasonografía endoscópica, anciano, biopsia, informes de casos. https://doi.org/10.22516/25007440.1481 Reporte de caso",marcadores,1.0.0,90692b2aaf014d4f
0120-9957,57-121-PB.pdf,57-121-PB_12,en,", en comparación con el adenocarcinoma ductal pan-","Introduction: Pancreatic adenosquamous carcinoma is an uncommon exocrine neoplasm that repre - sents between 1% and 4% of pancreatic tumors. It is characterized by the presence of glandular and squamous components and is associated with highly aggressive behavior and poor prognosis. Diagnosis usually occurs at advanced stages because of its nonspecific clinical presentation and rapid progression. Case presentation: We present the case of an 82-year-old female patient with abdominal pain, jaundice, and constitutional syndrome. Laboratory studies showed cholestasis, cytolysis, and direct hyperbilirubi - nemia. Computed tomography and abdominal magnetic resonance imaging showed a solid-cystic lesion in the tail of the pancreas with involvement of adjacent structures and multiple liver lesions suggestive of metastases. Endoscopic ultrasound with biopsy confirmed the diagnosis of adenosquamous carcinoma through histopathological and immunohistochemical studies (p63 positive in the squamous component and carcinoembryonic antigen positive in the glandular component). The patient had an unfavorable clini- cal course and died two months after diagnosis. Discussion: This tumor subtype is associated with a high rate of early dissemination, lymphovascular invasion, and perineural invasion, which limits therapeutic options. Although surgical resection is the treatment of choice in early stages, most cases are unresecta- ble at diagnosis. No standardized chemotherapy regimen exists, reflecting the limited available evidence. Conclusion: Pancreatic adenosquamous carcinoma is a rare entity with a poor prognosis, and its timely recognition and histological confirmation are essential. Additional studies are required to optimize its diag- nostic and therapeutic approach, consultation, and information at the time of managing this pathology, as it is rare and poorly known","Pancreatic neoplasms, endoscopic ultrasonography, elderly, biopsy, case reports. Revista. colomb. Gastroenterol. 2026;41(3):356-362. https://doi.org/10.22516/25007440.1481 358 Reporte de caso endoscópico y endosonográfico normal, cabeza y cuerpo del páncreas normal con conducto de Wirsung normal y, en la cola del páncreas, una lesión tumoral sólido-quística que mide 39 mm x 40 mm de diámetro, q",marcadores,1.0.0,177bd3451d2e6d06
0120-9957,57-121-PB.pdf,57-121-PB_13,es,acceso a terapias mínimamente invasivas. Revista. colomb. Gastroenterol.,"Introducción: los tumores neuroendocrinos pancreáticos (pNET) son neoplasias infrecuentes originadas en las células de los islotes pancreáticos y representan el 1%-2% de todos los tumores pancreáticos. Presentación del caso: se presenta el caso de un hombre de 47 años con múltiples antecedentes patológicos e intervenciones quirúrgicas abdominales previas, quien consultó por la elevación persistente de enzimas hepáticas. La colangiorresonancia evi- denció una lesión sólida de 18 mm en el cuerpo pancreático. La ultrasonografía endoscópica (EUS) identificó un nódulo bien delimitado, hipoecoico e hipervascular. La biopsia por aguja fi- na (BAF) confirmó un pNET bien diferenciado grado 1 (Ki-67 1%). El PET-TC con 68Ga-DOTA evidenció la captación focal compatible con pNET. Luego de una discusión multidisciplinaria, se optó por la ablación por radiofrecuencia guiada por USE (EUS) ante un riesgo quirúrgico alto por las comorbilidades y cirugías abdominales previas. Bajo anestesia general, se aplicaron 30 W en modo continuo mediante una aguja de radiofrecuencia de 19 G hasta lograr la ablación completa. Resultados: no se presentaron complicaciones inmediatas. La tomografía compu - tarizada a la semana confirmó la ablación tumoral completa sin realce residual. Conclusiones: este caso concuerda con reportes internacionales que muestran alta eficacia y baja tasa de complicaciones con la EUS-RFA. Sin embargo, la técnica no está exenta de riesgos (pan - creatitis, sangrado, perforación), no observados en este paciente. Como una de las primeras experiencias de Latinoamérica y, hasta donde se sabe, de Colombia, este caso subraya que la EUS-RFA es una alternativa mínimamente invasiva prometedora para pNET seleccionados. Se requieren cohortes regionales para caracterizar riesgos y particularidades poblacionales, y se justifican las evaluaciones comparativas frente a la vigilancia activa y cirugía","Ultrasonografía endoscópica, tumores neuroendocrinos, ablación por radiofrecuencia. https://doi.org/10.22516/25007440.1494 Reporte de caso",marcadores,1.0.0,71afb6c17c5172ad
0120-9957,57-121-PB.pdf,57-121-PB_13,en,"márgenes bien definidos, localizada en el cuerpo pancreá -","Introduction: Pancreatic neuroendocrine tumors (pNETs) are uncommon neoplasms that originate in pancreatic islet cells and account for 1%-2% of all pancreatic tumors. Case presentation: We present the case of a 47-year-old man with multiple pathological conditions and previous abdominal surgical inter- ventions who sought medical care because of persistent elevation of liver enzymes. Magnetic resonan - ce cholangiography showed an 18 mm solid lesion in the pancreatic body. Endoscopic ultrasonography (EUS) identified a well-defined, hypoechoic, hypervascular nodule. Fine-needle biopsy (FNB) confirmed a well-differentiated grade 1 pNET (Ki-67 1%). PET-CT with 68Ga-DOTA showed focal uptake consistent with a pNET. After a multidisciplinary discussion, the team chose EUS-guided radiofrequency ablation (EUS-RFA) because of the high surgical risk associated with the patient’s comorbidities and previous ab - dominal surgeries. Under general anesthesia, the team applied 30 W in continuous mode through a 19 G radiofrequency needle until achieving complete ablation. Results: No immediate complications occurred. Computed tomography one week later confirmed complete tumor ablation without residual enhancement. Conclusions: This case is consistent with international reports showing high efficacy and a low compli - cation rate with EUS-RFA. However, the technique is not free of risks (pancreatitis, bleeding, perforation), which were not observed in this patient. As one of the first experiences in Latin America and, to the best of current knowledge, in Colombia, this case highlights that EUS-RFA is a promising minimally invasive alternative for selected pNETs. Regional cohorts are required to characterize risks and population-specific features, and comparative evaluations against active surveillance and surgery are justified","Endoscopic ultrasonography, neuroendocrine tumors, radiofrequency ablation. Figura 1. T omografía computarizada (TC) axial (A) y sagital (B) de abdomen y pelvis previa a la ablación. Imagen propiedad de los autores. A B 365 Ablación por radiofrecuencia guiada por ultrasonido endoscópico en un tumor neuroendocrino pancreático: ampliación del acceso a terapias mínimamente invasivas Ante estos h",marcadores,1.0.0,5b6c675e1da0d0be
0120-9957,57-121-PB.pdf,57-121-PB_14,es,"1 Estudiante de Medicina, Facultad de Medicina,","Introducción: el lupus eritematoso sistémico (LES) es una enfermedad autoinmune que se presenta con mayor frecuencia en mujeres jóvenes y afecta diversos órganos. Sin embargo, su presentación con com- promiso gastrointestinal es infrecuente y puede presentarse como duodenitis autoinmune o enteropatía perdedora de proteínas y es aún más inusual su coexistencia como primera manifestación de la enferme- dad. Presentación del caso: se presenta el caso de un paciente varón de 22 años con poliserositis, dolor abdominal, diarrea, edema generalizado, hipoalbuminemia y anemia microcítica. La endoscopia mostró duodenitis erosiva y la histología evidenció una inflamación crónica inespecífica. Los estudios inmuno - lógicos resultaron positivos para anticuerpos antinucleares (1:180) y otros marcadores autoinmunes, lo que confirmó el diagnóstico de LES con manifestación digestiva atípica como enteropatía perdedora de proteínas y duodenitis autoinmune. El paciente recibió tratamiento con metilprednisolona, con una evolución favorable. Discusión: el LES tiene manifestaciones gastrointestinales atípicas. La enteropatía perdedora de proteínas tiene una prevalencia baja, su diagnóstico se basa en hallazgos clínicos y en la biopsia. La duodenitis es más inespecífica, pero es raro encontrar ambas manifestaciones sumadas al diagnóstico de LES. Conclusión: el LES puede debutar con manifestaciones gastrointestinales inusuales como duodenitis autoinmune y enteropatía perdedora de proteínas en pacientes con edema generalizado, hipoalbuminemia grave sin proteinuria y anemia persistente","Lupus eritematoso sistémico, duodenitis, enteropatías perdedoras de proteínas",marcadores,1.0.0,25410218d584a1a1
0120-9957,57-121-PB.pdf,57-121-PB_14,en,"marcadores autoinmunes, lo","Introduction: Systemic lupus erythematosus (SLE) is an autoimmune disease that occurs more fre - quently in young women and affects various organs. However, gastrointestinal involvement is uncommon and may present as autoimmune duodenitis or protein-losing enteropathy, and their coexistence as the first manifestation of the disease is even more unusual. Case presentation: We present the case of a 22-year-old male patient with polyserositis, abdominal pain, diarrhea, generalized edema, hypoalbumine- mia, and microcytic anemia. Endoscopy showed erosive duodenitis, and histology revealed nonspecific chronic inflammation. Immunological studies were positive for antinuclear antibodies (1:180) and other autoimmune markers, confirming the diagnosis of SLE with atypical gastrointestinal manifestations in the form of protein-losing enteropathy and autoimmune duodenitis. The patient received methylprednisolone treatment and had a favorable clinical course. Discussion: SLE has atypical gastrointestinal manifesta - tions. Protein-losing enteropathy has a low prevalence, and its diagnosis is based on clinical findings and biopsy results. Duodenitis is more nonspecific, but finding both manifestations together in addition to an SLE diagnosis is rare. Conclusion: SLE may initially present with unusual gastrointestinal manifestations such as autoimmune duodenitis and protein-losing enteropathy in patients with generalized edema, seve- re hypoalbuminemia without proteinuria, and persistent anemia","Systemic lupus erythematosus, duodenitis, protein-losing enteropathies. https://doi.org/10.22516/25007440.1510 Reporte de caso 369 Duodenitis autoinmune y enteropatía perdedora de proteínas: presentación infrecuente de lupus eritematoso sistémico una relación de proteínas pleural/suero 0,4, relación de lactato deshidrogenasa (LDH) pleural/suero 0,31, com - patible con trasudado; además, tuvo ba",marcadores,1.0.0,55f627879d9ee731
0120-9957,57-121-PB.pdf,57-121-PB_15,es,", Porras-Escobar SA, Castro-Galvis","Introducción: los divertículos gástricos (DG) son evaginaciones poco frecuentes de la pared gastrointes- tinal. Su localización prepilórica es excepcionalmente rara (prevalencia del 0,01%-0,11%), lo que repre - senta un reto diagnóstico al poder simular cuadros de abdomen agudo obstructivo o perforación visceral. Presentación del caso: se trata de un varón de 68 años que acudió con fiebre, hematemesis y distensión abdominal luego de la realización de una endoscopia. Los estudios de tomografía computarizada y una nueva revisión endoscópica identificaron un divertículo prepilórico de 5 mm con signos de perforación inminente. Discusión: a diferencia de los divertículos fúndicos, los prepilóricos suelen ser adquiridos y presentan un mayor riesgo de complicaciones inflamatorias. La sintomatología luego de un procedimiento invasivo sugiere que los factores mecánicos pueden exacerbar esta patología subyacente. Conclusión: el divertículo prepilórico debe considerarse en el diferencial de la hemorragia gastrointestinal y el dolor abdominal agudo. La identificación de ulceración submucosa en imágenes de alta resolución es clave para el diagnóstico temprano y la prevención de complicaciones graves","Divertículo, hemorragia gastrointestinal, hematemesis",marcadores,1.0.0,bb583cde3ff87db0
0120-9957,57-121-PB.pdf,57-121-PB_15,en,"fiebre, hematemesis y distensión","Introduction: Gastric diverticula (GD) are uncommon outpouchings of the gastrointestinal wall. Their prepyloric location is exceptionally rare (prevalence 0.01%-0.11%), creating a diagnostic challenge becau- se it can mimic acute obstructive abdomen or visceral perforation. Case presentation: This is the case of a 68-year-old man who presented with fever, hematemesis, and abdominal distension after undergoing an endoscopy. Computed tomography studies and a new endoscopic examination identified a 5 mm prepylo- ric diverticulum with signs of impending perforation. Discussion: Unlike fundic diverticula, prepyloric di - verticula are usually acquired and carry a higher risk of inflammatory complications. Symptoms appearing after an invasive procedure suggest that mechanical factors may exacerbate this underlying pathology. Conclusion: Clinicians should consider prepyloric diverticulum in the differential diagnosis of gastrointes- tinal bleeding and acute abdominal pain. Identifying submucosal ulceration on high-resolution imaging is key to early diagnosis and prevention of severe complications","Diverticulum, gastrointestinal bleeding, hematemesis. https://doi.org/10.22516/25007440.1518 Reporte de caso 377 Divertículo gástrico prepilórico como causa de hemorragia digestiva alta y abdomen agudo: reporte de un caso y revisión de la literatura se identificó un orificio diverticular de 5 mm de diámetro hacia la curva menor, con sospecha de perforación frustra de úlcera (Figura 1). Posteri",marcadores,1.0.0,edab2a208116621a
0120-9957,57-121-PB.pdf,57-121-PB_16,es,"Julissa Mirella Guevara-Miranda,1","Introducción: la enteropatía tipo esprúe inducida por antagonistas del receptor de angiotensina II (ARA II) es una entidad infrecuente, descrita inicialmente con olmesartán y posteriormente con otros fárma - cos de la misma clase. Se caracteriza por diarrea crónica, pérdida de peso y alteraciones histológicas similares a la enfermedad celíaca, pero con serología negativa. Presentación del caso: se presenta el caso de una mujer de 75 años en tratamiento prolongado con losartán, quien desarrolló diarrea y pérdida ponderal progresiva. Las biopsias duodenales mostraron atrofia vellositaria e inflamación crónica. Luego de suspender el fármaco, la paciente obtuvo una resolución clínica completa. Discusión: el diagnóstico diferencial incluye enfermedad celíaca refractaria, enfermedad inflamatoria intestinal y enteropatías infec- ciosas. El dato clave es la relación temporal con el uso del fármaco, la ausencia de serología positiva para enfermedad celíaca y la resolución del cuadro luego de retirar el ARA II. Conclusión: este caso refuerza la importancia de considerar la enteropatía por ARA II dentro del diagnóstico diferencial de diarrea crónica, especialmente ante serología celíaca negativa","Losartán, antagonistas del receptor de angiotensina II, diarrea",marcadores,1.0.0,c0d0a0f4c438ebce
0120-9957,57-121-PB.pdf,57-121-PB_16,en,aso: se presenta el,"Introduction: Sprue-like enteropathy induced by angiotensin II receptor antagonists (ARBs) is an uncom- mon entity, initially described with olmesartan and later with other drugs in the same class. It is characteri- zed by chronic diarrhea, weight loss, and histological changes similar to celiac disease, but with negative serology. Case presentation: We present the case of a 75-year-old woman receiving long-term treatment with losartan who developed diarrhea and progressive weight loss. Duodenal biopsies showed villous atrophy and chronic inflammation. After discontinuing the drug, the patient achieved complete clinical resolution. Discussion: The differential diagnosis includes refractory celiac disease, inflammatory bowel disease, and infectious enteropathies. The key finding is the temporal relationship with drug use, the absence of positive serology for celiac disease, and resolution of symptoms after withdrawing the ARB. Conclusion: This case reinforces the importance of considering ARB-induced enteropathy in the differen- tial diagnosis of chronic diarrhea, especially in the presence of negative celiac serology","Losartan, angiotensin II receptor antagonists, diarrhea. https://doi.org/10.22516/25007440.1532 Reporte de caso Revista. colomb. Gastroenterol. 2026;41(3):379-382. https://doi.org/10.22516/25007440.1532 380 Reporte de caso con losartán 50 mg/día y atenolol 50 mg/día. Desde hace 4 años inició con episodios de deposiciones líquidas de forma intermitente, de 3 a 4 evacuaciones diarias, sin moco",marcadores,1.0.0,6b01b3d9be747d08
0120-9957,57-121-PB.pdf,57-121-PB_17,es,ed hepatic and peritoneal hydatidosis mimicking liver cirrhosis:,"Introducción: la hidatidosis, causada por Echinococcus granulosus, es una zoonosis endémica en zonas rurales de Perú que raramente se presenta simulando cuadros de hipertensión portal. Presentación del caso: se trata de una mujer de 47 años de Cerro de Pasco con un historial de cuatro años de distensión abdominal progresiva y fatiga, inicialmente diagnosticada como cirrosis hepática por ascitis crónica. La tomografía reveló múltiples quistes hepáticos y colecciones peritoneales masivas; la serología Western Blot confirmó el diagnóstico de hidatidosis diseminada. Se realizó una laparotomía exploratoria en la que se drenaron más de 10 litros de contenido hidatídico y una posterior reintervención laparoscópica por complicaciones infecciosas. Luego del tratamiento continuo con albendazol, la paciente tuvo una evolución favorable a los nueve meses. Conclusiones: la hidatidosis diseminada debe considerarse en el diagnóstico diferencial de ascitis crónica en pacientes de zonas altoandinas. El éxito del tratamiento depende de un manejo médico-quirúrgico integral y seguimiento prolongado","Echinococcus granulosus, equinococosis, cirrosis hepática, hipertensión portal, zoonosis",marcadores,1.0.0,c9f54b3b17010723
